x,.,.(SD)
2152,0.0025686171412709585,0
2155,-0.005283078846805835,0
2158,0.0002909522171980938,0
2161,-0.004563293793618802,0
2164,-0.004545301105807942,0
2167,0.009340141065968727,0
2170,0.010087985899045951,0
2173,0.0027213709223555113,0
2176,0.001921732497369185,0
2179,0.0034957378617847096,0
2182,0.006489067668975994,0
2185,0.012616506228522334,0
2188,0.006514086280607756,0
2191,0.003698884221932663,0
2194,0.004565773504551145,0
2197,0.00639830111851323,0
2200,0.006486560455466671,0
2203,0.004411265533350127,0
2206,0.005968058076947917,0
2209,0.006213123952424772,0
2212,0.006205099888957242,0
2215,0.013129351450736184,0
2218,0.010705000385103695,0
2221,0.010544005809195265,0
2224,0.013231871828577104,0
2227,0.010512673580156605,0
2230,0.011737044777053441,0
2233,0.013863192831826479,0
2236,0.012818700504729375,0
2239,0.014137324732560356,0
2242,0.015238595662017978,0
2245,0.01614206525291792,0
2248,0.011993041452602332,0
2251,0.011216729897915011,0
2254,0.012383834746126558,0
2257,0.013410005219555718,0
2260,0.01539015761674921,0
2263,0.016231944227867726,0
2266,0.017640166060682024,0
2269,0.015711926175710673,0
2272,0.017579508762817508,0
2275,0.018882328508580664,0
2278,0.020064234361837286,0
2281,0.017903783481290726,0
2284,0.01690047315390493,0
2287,0.017326499048160148,0
2290,0.019525003318142393,0
2293,0.019598950943181412,0
2296,0.02062877202708015,0
2299,0.0188003875485732,0
2302,0.019850725329714717,0
2305,0.02016578239751,0
2308,0.020532373161499064,0
2311,0.020207863125217537,0
2314,0.019640256769990524,0
2317,0.02210419317420434,0
2320,0.024547196063970916,0
2323,0.023976408346828522,0
2326,0.02553220451279073,0
2329,0.026362354102652898,0
2332,0.024717685155151957,0
2335,0.02439446789876479,0
2338,0.0235163403282267,0
2341,0.023256384037685766,0
2344,0.024030507751940447,0
2347,0.024148291096662413,0
2350,0.02264545123901864,0
2353,0.02213851190240533,0
2356,0.020852644855205903,0
2359,0.02094279795364315,0
2362,0.02122788279533119,0
2365,0.01779133689614642,0
2368,0.020257237268481762,0
2371,0.020148675061645912,0
2374,0.01816117422285838,0
2377,0.01949590960419503,0
2380,0.01971524553268581,0
2383,0.020251476408094337,0
2386,0.022824901192865798,0
2389,0.02270979690162352,0
2392,0.02108470415820133,0
2395,0.01962563625180518,0
2398,0.020528780725684644,0
2401,0.019415951257891237,0
2404,0.01788258709158191,0
2407,0.017636223124938344,0
2410,0.018644244286414154,0
2413,0.01741480403127736,0
2416,0.01726678385582732,0
2419,0.01705323352190925,0
2422,0.01564077449538304,0
2425,0.01752704920772952,0
2428,0.01675109624789408,0
2431,0.016781954161327675,0
2434,0.016445552107884665,0
2437,0.017047829164675687,0
2440,0.015977389659963842,0
2443,0.016145904448396493,0
2446,0.01773248928163021,0
2449,0.017329983290634222,0
2452,0.017303927590609183,0
2455,0.01654455811547559,0
2458,0.017320136491876807,0
2461,0.015552751664852782,0
2464,0.016378864049085003,0
2467,0.016455665858419954,0
2470,0.015901852224410123,0
2473,0.017471767115846634,0
2476,0.01733348520224503,0
2479,0.015121522611488122,0
2482,0.01587002091426448,0
2485,0.014341083819911091,0
2488,0.016098903409729318,0
2491,0.015157927988498686,0
2494,0.01379889288950125,0
2497,0.013951966975511673,0
2500,0.010303100191711915,0
2503,0.012164982630819334,0
2506,0.014850779985161787,0
2509,0.01361966075681389,0
2512,0.014612930846743196,0
2515,0.015445711234525336,0
2518,0.013386349911035992,0
2521,0.01358047305757552,0
2524,0.01357902850198694,0
2527,0.014716184089007411,0
2530,0.014640592519693013,0
2533,0.012585921820101773,0
2536,0.011873430584044112,0
2539,0.014860111770639967,0
2542,0.015420277255052755,0
2545,0.01533231591495627,0
2548,0.014068598359923948,0
2551,0.014951351966747453,0
2554,0.01646363396007621,0
2557,0.01482745357340887,0
2560,0.01642273965929311,0
2563,0.016692340816005322,0
2566,0.016269281854807638,0
2569,0.01640091775170185,0
2572,0.016363553096944986,0
2575,0.016052076643925963,0
2578,0.016128324344337024,0
2581,0.016088238734397495,0
2584,0.015155222583562169,0
2587,0.015948283188243297,0
2590,0.016179590307879455,0
2593,0.01762776748595171,0
2596,0.01612096854811237,0
2599,0.017058841237849974,0
2602,0.014954450019482594,0
2605,0.016996939515246844,0
2608,0.019499154980065297,0
2611,0.019045783188519332,0
2614,0.01911809128521499,0
2617,0.01734093779593283,0
2620,0.01641386454327204,0
2623,0.017936566266683544,0
2626,0.0173610588186516,0
2629,0.017607481517790135,0
2632,0.01747439902657146,0
2635,0.018572695105688066,0
2638,0.018800130292879982,0
2641,0.01935784231530366,0
2644,0.02016299787063856,0
2647,0.01914420839192171,0
2650,0.019562507273873382,0
2653,0.02032024864195538,0
2656,0.020886581903906184,0
2659,0.020921774943170327,0
2662,0.02147310229958994,0
2665,0.021399086912241152,0
2668,0.02069236905512882,0
2671,0.022103308793609035,0
2674,0.022118877241560128,0
2677,0.020705631055484952,0
2680,0.02103781109176703,0
2683,0.021309559518664437,0
2686,0.021220097521320185,0
2689,0.02135240972528567,0
2692,0.022270761047724644,0
2695,0.022492022657593078,0
2698,0.022389760209935678,0
2701,0.02406689181197453,0
2704,0.024141554975567265,0
2707,0.025888314224863627,0
2710,0.027801616602219505,0
2713,0.02869891526295657,0
2716,0.027163963323632304,0
2719,0.02735371751164767,0
2722,0.0268879586926767,0
2725,0.02682905268891499,0
2728,0.02732662615792162,0
2731,0.027365043793050256,0
2734,0.026375276946837445,0
2737,0.026890736187284832,0
2740,0.027601558302193376,0
2743,0.027623851323376265,0
2746,0.027539315462150896,0
2749,0.02788164639721096,0
2752,0.027963960871974444,0
2755,0.028885873157268736,0
2758,0.028582097438635923,0
2761,0.02941312411538712,0
2764,0.03004288980007354,0
2767,0.028925271063135367,0
2770,0.030127271916633593,0
2773,0.031407301973733155,0
2776,0.031957645696649196,0
2779,0.03324655877866151,0
2782,0.03391671483903993,0
2785,0.03521875604443006,0
2788,0.037902365152713204,0
2791,0.03756489805065065,0
2794,0.037211031484996784,0
2797,0.0380660967773195,0
2800,0.037958708275370005,0
2803,0.03827346349200983,0
2806,0.039451577673059804,0
2809,0.04066186231113642,0
2812,0.042355869881542434,0
2815,0.043364642674973516,0
2818,0.044243438189554805,0
2821,0.044915654138253165,0
2824,0.045947618689244886,0
2827,0.048796780675651144,0
2830,0.05091992154326318,0
2833,0.05339021390775913,0
2836,0.057221820195677446,0
2839,0.061132181406368426,0
2842,0.06482905628085113,0
2845,0.06954226139918919,0
2848,0.07368647576062967,0
2851,0.07803505299356116,0
2854,0.08150820873608855,0
2857,0.08459119122023898,0
2860,0.08867229663318588,0
2863,0.09286933204600277,0
2866,0.09365706778425406,0
2869,0.09122062711703142,0
2872,0.08714604877396452,0
2875,0.08304443912515681,0
2878,0.08248004747498586,0
2881,0.08323652660918407,0
2884,0.08297189051453144,0
2887,0.08291023509976118,0
2890,0.08389880079011275,0
2893,0.08511213872010698,0
2896,0.08504193859396615,0
2899,0.08299880861611517,0
2902,0.08053104712680964,0
2905,0.07649337394828126,0
2908,0.07231359450971188,0
2911,0.06985321532501515,0
2914,0.070548676485511,0
2917,0.06944532038647962,0
2920,0.06633743023162327,0
2923,0.062388400727838536,0
2926,0.06091041364575094,0
2929,0.05994187019683144,0
2932,0.0589775998746875,0
2935,0.05859755587739588,0
2938,0.05990676967266013,0
2941,0.06358220893071254,0
2944,0.06640163250204094,0
2947,0.06698109175091,0
2950,0.0665756539741185,0
2953,0.06109762938449638,0
2956,0.05697838146133055,0
2959,0.05093204477498579,0
2962,0.0454970032335855,0
2965,0.039532934412446985,0
2968,0.034138195481347534,0
2971,0.030228239997348697,0
2974,0.025011739043967758,0
2977,0.020085507048177048,0
2980,0.020462498701043726,0
