Wavenumbercm-1,2.72e+01 M,2.18e+01 M,1.81e+01 M,1.36e+01 M,1.09e+01 M,9.07e+00 M,6.80e+00 M,5.44e+00 M,4.53e+00 M,3.63e+00 M,2.72e+00 M
2296,-0.018496079450129377,-0.013467851921561325,-0.013539932649435699,-0.013146636762243868,-0.013307423466598032,-0.013723764899516667,-0.0138000656888616,-0.0145587602117466,-0.01386356268693065,-0.0093619019918122,-0.0096945995131574
2294,-0.01863507182685405,-0.013608610814483876,-0.013663997145005935,-0.013374257894641734,-0.013530365888700033,-0.013984034814459867,-0.014129158941769934,-0.01483596085180755,-0.014088041447331001,-0.009550933828988,-0.0098765583160116
2292,-0.0187615570869498,-0.0137273868330455,-0.013732597137397433,-0.013509387466623467,-0.013689913951187035,-0.014170325029466501,-0.014349284596875234,-0.0150342073703071,-0.0142554087926181,-0.0096922408360283,-0.0100191935031066
2290,-0.018746089852823798,-0.013711823498255175,-0.013655152453492,-0.013460290542578067,-0.013665368309862402,-0.0141463625909289,-0.014323973891347735,-0.01501774621297905,-0.0142478369329381,-0.00968257579420065,-0.0099913403456961
2288,-0.018539107371522427,-0.013557479491527224,-0.013438070422920565,-0.0132252661947313,-0.013452840836827901,-0.013913268506076734,-0.014074793702060768,-0.014789992709265,-0.014054342593732599,-0.009527836645152402,-0.0098065808665245
2286,-0.018243347021121625,-0.013343460038255824,-0.013160032145725335,-0.012872474594088967,-0.0131275996386308,-0.0135609027183091,-0.013699631487318233,-0.0144473380873684,-0.0137466127575945,-0.0092782405523115,-0.0095506256778668
2284,-0.01801114900648905,-0.013153526299340423,-0.012929946525220634,-0.0125286847339839,-0.012793773655177266,-0.0131993615200531,-0.013314071555174068,-0.01410430484534745,-0.0134351293891985,-0.009005469721766149,-0.0093091235201943
2282,-0.017869734891635923,-0.0130032976739292,-0.012802621961993402,-0.012288937610342566,-0.012520169843242534,-0.012893734230320532,-0.012999622895917065,-0.0138239240682775,-0.01319267717781035,-0.00877672199551265,-0.0091368817871284
2280,-0.01773201095093245,-0.01284846622414025,-0.012733659077119666,-0.012132817934633265,-0.0123064756634303,-0.012638070859454899,-0.012759486070392468,-0.0135964965684011,-0.013003602137746501,-0.0086007359275694,-0.0090268594410603
2278,-0.017566812221808722,-0.012668025780967599,-0.012654769871604734,-0.0119848255096581,-0.012128002381138167,-0.012403483062015467,-0.012553417110022834,-0.0133895780639232,-0.01280993967483975,-0.008436294313784148,-0.0089208895656529
2276,-0.017439522861991998,-0.0125006350609833,-0.0125657035597816,-0.011832642782453,-0.0119833388860288,-0.012194577057097367,-0.012374888702084334,-0.0132000328419803,-0.012592671145763,-0.0082687203286386,-0.0087857968624754
2274,-0.017361494222564576,-0.012371856302698825,-0.012486487105863234,-0.011705059358542302,-0.011857690885549799,-0.012024352859403733,-0.012240550708070569,-0.0130320849005931,-0.012372002869540901,-0.00811755538272535,-0.0086385926934706
2272,-0.017254838179886427,-0.012251650754617451,-0.0123757668150057,-0.011575538144872867,-0.011693328818603266,-0.011870279238733567,-0.012122045379758634,-0.0128647436319328,-0.012166802116609251,-0.00797123324946295,-0.0084788088323961
2270,-0.017103376705073774,-0.012118187999209624,-0.012191658613940832,-0.011394866342060701,-0.011467690861656632,-0.011708448671808334,-0.011965717262627665,-0.012685789485823551,-0.01200110478404435,-0.00779313354496175,-0.0082654749592123
2268,-0.0169703476373447,-0.0119809214185292,-0.011974309148733266,-0.011175243204786732,-0.011242967223573734,-0.011549431086935201,-0.011764120018645135,-0.01251074565310285,-0.01189149128917475,-0.0075844903015896,-0.007991795607037
2266,-0.016808829698951377,-0.011791655229948374,-0.011752023399987599,-0.010925339863117936,-0.011045801077859267,-0.011376438774859533,-0.011516940264724532,-0.01231352759243495,-0.011769513072035949,-0.0073493228867726,-0.0077050320572855
2264,-0.0164578716335742,-0.011440447059833126,-0.011441712097632367,-0.010566076306230432,-0.0107762968099993,-0.0111020473276374,-0.011152835986822101,-0.01199874159470675,-0.011486537092288949,-0.0070150036605847,-0.0074157911217606
2262,-0.015919205934454374,-0.010925379217073226,-0.010971095419758832,-0.010052386063979367,-0.010349608645615667,-0.010680829799878333,-0.010618331931361266,-0.01152800788867965,-0.010982007451917151,-0.00650034524335565,-0.0070475584778098
