Wavenumbercm-1,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M
1708,-0.04036880020922051,-0.039516304140200895,-0.018826122377410274,-9.976736452895426e-05,0.018008352954760994,0.03508799365084494,0.08994333683078275
1706,-0.027890057078251585,-0.010501863063770408,0.03048071505609894,0.07001159130248541,0.11053091506877932,0.14754352249595043,0.2311208662528138
1704,-0.013981079869753549,0.019700626748566073,0.07870465241027601,0.14044454434626086,0.19808108609024874,0.25418741679221096,0.366057859321082
1702,0.016047559077339162,0.07077438670429197,0.1486598598988861,0.23793687837529284,0.31190438945990473,0.3883194382586164,0.521725898690872
1700,0.06210443661842222,0.1444138848154347,0.24587681404860667,0.3667706965904904,0.46146403822355464,0.5599005827706474,0.7074461706737049
1698,0.08581878383823667,0.17645206735703892,0.28316239520213377,0.409060457897267,0.5031446326257222,0.6012295175005637,0.7399949989564142
1696,0.06975414421623849,0.13352230769558282,0.20975362303720038,0.29867286487301736,0.3525473402882578,0.4144180201082715,0.5154410391034473
1694,0.047228531318015375,0.07732216561063053,0.11449730668750979,0.15934028461871455,0.16563780406613632,0.18523249976804276,0.2456495029585707
1692,0.04060045675636839,0.05674428458636289,0.07505044732157352,0.09906993160866837,0.082634628740073,0.08176253865908785,0.12164781303474854
1690,0.05151669824024488,0.0778462651287106,0.10366736608945351,0.1344998002438104,0.12555720043214652,0.13096863976171766,0.17557347774414783
1688,0.08555557180028323,0.1434118491185938,0.19993269459268637,0.26116792301734015,0.2839904498244854,0.3182187083957779,0.39254271430901366
1686,0.1523322709967091,0.25666907773701947,0.3592618419700127,0.46696220350517664,0.5342548946119597,0.6109789997775638,0.7363552754901734
1684,0.22707399664812075,0.3656592359529332,0.5013996425003696,0.6432693604265347,0.7363508408498608,0.8424111818145427,1.0115443351964197
1682,0.25961466622271284,0.391698434854794,0.5180841453190614,0.6517307787281643,0.7256289759700607,0.8228277871886766,0.990804254103045
1680,0.26661807099914436,0.3700844803215967,0.462271563393878,0.5634121851535058,0.5969784814231017,0.6647559398082379,0.8016390327685442
1678,0.294657261986887,0.37660445467360537,0.4400170729962024,0.514789585555772,0.5194391107341222,0.5635737292269106,0.6735710170390404
1676,0.36518249944674036,0.4442999544966784,0.4996905856072104,0.5684172459599243,0.5712130627913202,0.610022461072049,0.7145519329571419
1674,0.47824756351536135,0.5691045769956753,0.6368978767743777,0.7181651533354503,0.7437706397988303,0.7950674124419531,0.9134487887405949
1672,0.6135322088860213,0.712845887128068,0.7937293578557149,0.886426322408334,0.9338941874724566,0.9979039364244062,1.1266279173864937
1670,0.726181526781873,0.8166730247798571,0.8901784374139996,0.9732905063070331,1.015958132453071,1.0730015136099225,1.1883701029813096
1668,0.7760008633576301,0.8487717608088605,0.9004520234604994,0.9592546037889267,0.9786575462479501,1.0138518048314555,1.1037475105935532
1666,0.764737721407571,0.8264090934307711,0.8605557063115306,0.8987979671817634,0.8988469808477944,0.915773946095539,0.9896937237639056
1664,0.7270544975948297,0.7883514454120445,0.8150674596460545,0.8433055139263077,0.834192132090346,0.8440295223128729,0.914522708027189
1662,0.6977074564897261,0.7636532093515872,0.7877932244666865,0.812827537297316,0.799424206122849,0.8090034206835618,0.8788525432485008
1660,0.6855719991756276,0.756219567126233,0.7799426301896704,0.8058865048337327,0.7921945554182185,0.8040429322838547,0.8727871380443649
1658,0.6833793672280243,0.7616890771747603,0.7919359945685108,0.8267079679600432,0.8232706509764465,0.8430396707879576,0.918328455667414
1656,0.6985308862872555,0.795274200256271,0.8457375430075633,0.9038974266423254,0.9275452951951442,0.9676586658125245,1.0652294781727174
1654,0.7547665874409427,0.8826658300554097,0.9667555081614029,1.0626811238394682,1.126658369311764,1.1995907634016747,1.3310078655546305
1652,0.8336472421326518,0.9841562269016539,1.0947790729770965,1.219847676613792,1.3128511604267932,1.4102916874892208,1.5637769975791875
1650,0.8666364578883174,1.0113973674567256,1.1242650186433691,1.250546075339063,1.3469315751808102,1.4445867280447442,1.5999990334659784
1648,0.8633560721671385,0.9885646450791775,1.0911515465892074,1.2052370295577692,1.294363152451165,1.3818235516025628,1.5337075326263248
1646,0.8729044991343945,0.975527951518848,1.0611499436778415,1.1576974683068346,1.2299376036915899,1.3026878228358225,1.439389345106756
1644,0.902013213968488,0.9801064793553418,1.0425412561762004,1.1162213355543213,1.1586608980520359,1.2109186000480905,1.3130534791493045
1642,0.930146234027333,0.9884393293775522,1.0326073926693167,1.0884445719094937,1.1052878642768453,1.1415229352350755,1.2112095710721404
1640,0.9608974413999417,1.011860553992967,1.0530576324418492,1.1070868012318202,1.1204762196020848,1.1565741183974818,1.2198312512245928
1638,1.0192281003110961,1.076273279208125,1.1289679808468498,1.1976894453458506,1.2307761159305277,1.2823078215273334,1.3678590594557838
1636,1.1035238741373967,1.1651525879581213,1.22498261391726,1.3058730475356723,1.3561143297427198,1.4170978291641274,1.525523154759971
1634,1.1496644861543854,1.1915789551219758,1.231898973722216,1.296674666364281,1.3272051517434384,1.3668108758111952,1.4587413054945395
1632,1.1472368445588073,1.1587022180865334,1.1718142091024069,1.210193141361822,1.2077593408456442,1.2186134645487816,1.278024893100965
1630,1.149624415261892,1.141775391512414,1.142562679441127,1.1691245886378128,1.1531408862052295,1.1538393994028435,1.2001509148032856
1628,1.1840327960678274,1.1701167501467586,1.1743395315548688,1.2057956989543825,1.1985930825684732,1.2080094570526905,1.2635777956554481
1626,1.2497375667656676,1.2297944030516545,1.23976158520868,1.2802497895592349,1.2883029031160536,1.3100563071029583,1.3802566474809774
1624,1.3358319152922893,1.2937923030070708,1.2957458248673914,1.3339852992535397,1.3448437633393406,1.36564323116063,1.43655244483927
1622,1.4482344983647266,1.3693276621638235,1.3505336790426399,1.3755591006064383,1.3784285179350007,1.386882535024635,1.445394602074055
1620,1.6070309232454316,1.4847164696647621,1.4404015122058085,1.4478212204723264,1.4409355457976945,1.4337952128458706,1.47333375280105
1618,1.8164689257107598,1.6435353072203571,1.5679444916023304,1.5516114921064748,1.5295361336948627,1.5015438341692897,1.5111910621471627
1616,2.044796308907685,1.8104267235213043,1.693600550228656,1.6432141891441214,1.592956587055037,1.5343815874907365,1.5000232508761242
1614,2.244317823595546,1.946495900915823,1.7851871581164798,1.695968439219117,1.6119763195163288,1.519312401580095,1.438003502348859
1612,2.3714108435160357,2.0277842830697965,1.833488445682929,1.7124455563467589,1.6042429839530872,1.4851868836827617,1.3684848502319182
1610,2.3968279512490476,2.038867608177998,1.8321635593829648,1.6948264594290552,1.5785099424294544,1.4465884539736098,1.3127381586255806
1608,2.339905754095207,1.9924640306542998,1.788597927631989,1.6497569172251911,1.5356921406063733,1.4019244125753985,1.2653989194789805
1606,2.2494049135150886,1.9178644904707884,1.7187110161348225,1.5845910554586615,1.472444490351424,1.3408390190818251,1.206304728738473
1604,2.130865975156249,1.8126271466664485,1.6151159572060987,1.4855403712299577,1.3707456380313894,1.2415892266916253,1.109115513872461
