Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
2834,-0.00039407701180124,-0.002182440846111125,-0.00256707544409985,-0.0029006757571558,-0.0031817204628712,-0.003669079084832367,-0.0042530618916074665,-0.004558926749287501,-0.0011426087267045499
2832,-0.00040395733150827996,-0.0022185931991263,-0.00254417391760765,-0.0028991575307348665,-0.0031693346911696335,-0.003646722547338333,-0.004214368530406466,-0.0045397273516923,-0.00115268485369
2830,-0.00040553050235762005,-0.002234868853064025,-0.0025505896159776498,-0.0029211200275327,-0.003154286768696566,-0.0036337215711769667,-0.004171349381170967,-0.0045136846380726325,-0.0011498039298419001
2828,-0.0004011603272872401,-0.0022428140159907,-0.0025914456210511,-0.0029597768674030664,-0.0031593335005076334,-0.0036333444718423,-0.004158020935664567,-0.0045028799551814335,-0.0011423519231072501
2826,-0.00039580870509266,-0.0022377208920611753,-0.0026388808667545,-0.002981307166143733,-0.0031815310443203,-0.0036294604266042334,-0.004178163672472233,-0.0045131433701363,-0.001149606094449225
2824,-0.00039258066921708004,-0.0022139199401498,-0.00267048899170055,-0.0029670674376570997,-0.003200122535942533,-0.0036084696080082666,-0.004204340404180733,-0.0045291243723944,-0.001166759510047325
2822,-0.00038986364909306,-0.0021973229667376,-0.0026925782646924,-0.0029382217492308336,-0.0032104115403497335,-0.003578470014440633,-0.004213834321833533,-0.0045386376626391995,-0.0011715291231019754
2820,-0.0003839344021871,-0.002217596808648825,-0.0027103964958258,-0.0029173228281436,-0.0032174872461423333,-0.003554225394392967,-0.004202775664425733,-0.004538555802494567,-0.001158183945035625
2818,-0.00037561861054498,-0.002258324841103575,-0.00270419102735335,-0.0028945130475153667,-0.0032072264032996997,-0.003534010382475967,-0.004173936107545433,-0.004522113535253633,-0.0011417617655016252
2816,-0.00037121393577532,-0.002273965076784075,-0.0026598838282888,-0.0028589560427618333,-0.0031613334553775665,-0.0035085374034923,-0.004134611808214933,-0.004486948378534234,-0.001133583105660525
2814,-0.00037497426881484,-0.00224991373664215,-0.0026000778466209002,-0.0028320591487987668,-0.0030987709526322667,-0.0034826763128628,-0.0041002019630035,-0.004452028461936733,-0.0011296485157466
2812,-0.00038384855285562,-0.0022170001956775248,-0.0025616010005944,-0.0028351202273230332,-0.0030663940326697667,-0.003472213848649567,-0.004080313388502566,-0.0044414142204812004,-0.0011217031790248747
2810,-0.00039185355651470005,-0.0022120327487509,-0.0025613404333990003,-0.002851507099811333,-0.003084790909387233,-0.0034857904807447664,-0.0040693887980025,-0.0044540285356333,-0.0011091403264910748
2808,-0.00039654948758376004,-0.0022478430347836003,-0.00259920885094935,-0.0028553622245332,-0.0031327204316909333,-0.0035194096358644334,-0.004064860673819333,-0.004471858078188267,-0.0010999292130080749
2806,-0.00039906699995214003,-0.002309766757930675,-0.00266413198919215,-0.002852681921548733,-0.0031818395033351,-0.003559562730746134,-0.0040781023460244,-0.0044909485177004665,-0.0011032302633524997
2804,-0.00040075720366044003,-0.0023563055861268003,-0.0027177878677069,-0.0028595450535285334,-0.0032147344815845,-0.0035845109504950338,-0.004109338268014934,-0.004516681816207733,-0.00111684204393075
2802,-0.00040234839634524007,-0.00234453229721065,-0.0027109826347612997,-0.0028633362385842667,-0.0032146965199469665,-0.003577937623342967,-0.0041301763650161,-0.004533441354999367,-0.0011242635231317752
2800,-0.00040432262211866,-0.002278309212174475,-0.00264368570351935,-0.0028455915852723668,-0.0031751422476442334,-0.003548677271609267,-0.0041149689119696,-0.004512753123612799,-0.0011139906647214004
