Wavenumbercm-1,02:32:59,02:36:01,02:39:01,02:42:01,02:45:01,02:48:01,02:51:01,02:54:01,02:57:01,03:00:01,03:03:01,03:06:01,03:09:01,03:12:01,03:15:01,03:18:01,03:21:01,03:24:01,03:27:01,03:30:01,03:33:01,03:36:01,03:39:01,03:42:02,03:45:00,03:48:01,03:51:01,03:54:01,03:57:01,04:00:01,04:03:01,04:06:01,04:09:01
2980,-0.0237959812703187,-0.0251231061124561,-0.0256264520664465,-0.0258871106591683,-0.0260494322387211,-0.0256028931207887,-0.0232197148473908,-0.021158947689769,-0.0207684306887077,-0.0207560362549394,-0.0205073885612992,-0.0212645814692603,-0.0210876006565175,-0.0210713435835957,-0.0216998765460961,-0.0210283963043138,-0.02103483729807,-0.0215343289594827,-0.0223295089032754,-0.0227615177356896,-0.0229422892204772,-0.0231121791861513,-0.02271025608388,-0.023111294274402,-0.0237751158374409,-0.0237043766964946,-0.024478616285933,-0.0245391599051604,-0.0253379822435392,-0.0232092642373324,-0.0195370368555744,-0.0206241015020044,-0.0206618807524819
2978,-0.0238022340434271,-0.0251574459321729,-0.0256396736497853,-0.0259202921589397,-0.0259937943925494,-0.0256622459297836,-0.0232889335626891,-0.0213633935422997,-0.0208978447260232,-0.0207916270559828,-0.0206169839112653,-0.0214013987884285,-0.0211811515737749,-0.0211543883763481,-0.0217992481372197,-0.021062258435505,-0.0212000194187626,-0.0216749379443857,-0.0225527007441217,-0.0227552775851505,-0.0230460494042726,-0.0232266111464195,-0.022764718559296,-0.0231082306067115,-0.0238453643508916,-0.0237758904083707,-0.0245796448427711,-0.024647347616376,-0.0252851888638518,-0.0232660459673357,-0.0197007019920236,-0.0208305328067258,-0.0208254700845732
2976,-0.0238540098682141,-0.0251003561745246,-0.0256362009386169,-0.025949959108717,-0.0259215338171757,-0.0257807614747456,-0.0233189491017079,-0.0215152928297002,-0.0209544353082946,-0.0207443256378819,-0.0206672272147277,-0.0214892352568292,-0.0211399756014458,-0.0211606938326998,-0.021803900437288,-0.0210658427551983,-0.021277487535021,-0.0218479894695412,-0.0226879607041384,-0.022612212521956,-0.0231457962975561,-0.0232981608546933,-0.0228599512226856,-0.0232238103027677,-0.0239079294583709,-0.0238694782739697,-0.0246137337471076,-0.0247530251140231,-0.0253118105529715,-0.0233930969714592,-0.019754446261083,-0.0210368179357511,-0.0209936657152337
2974,-0.0238217160204108,-0.0249064630492874,-0.0255549916820341,-0.0258674177044907,-0.0257911252233394,-0.025854486815909,-0.0231548053938223,-0.0214485752355311,-0.0208628975265263,-0.0205288154445928,-0.0204859004050662,-0.0213992475970138,-0.0209016174808109,-0.0210460758954885,-0.0216175689596398,-0.0210423151144093,-0.021089723361862,-0.0218689699215878,-0.0225739738220889,-0.0223825667194203,-0.0230927574434332,-0.0232282645164805,-0.0228290118196066,-0.0233239958436844,-0.0238801974130938,-0.0238609616179646,-0.0245137364449899,-0.024709892816183,-0.0253308998803959,-0.0234719626125864,-0.019607094799282,-0.0210774601368485,-0.0210011537833151
2972,-0.0237486137857702,-0.0247234056676325,-0.0254747734869035,-0.025738409038535,-0.0256680203256137,-0.02583456607205,-0.0229372572146787,-0.0212185570866445,-0.0207403413811833,-0.0202586075658258,-0.020188695843094,-0.0212249458584681,-0.0206733502100453,-0.0209295509973419,-0.0213743803454813,-0.021055673948797,-0.0208038718845182,-0.0217777060219158,-0.0223667907645753,-0.0222783603305329,-0.022950901474242,-0.0230827895765217,-0.0227436186377427,-0.0234116471488467,-0.0238415501749989,-0.0237928640218822,-0.0243286476505995,-0.0246538944794004,-0.025262373752294,-0.023499393783985,-0.0194177222402865,-0.0210299821110648,-0.0208498384548431
2970,-0.0237336436864692,-0.024689921212194,-0.0254454407042068,-0.0256564364109934,-0.0255948681933543,-0.0257301638471551,-0.0228477094030364,-0.020943189770433,-0.020654385475968,-0.020099281543425,-0.0199931025141196,-0.0211001868952929,-0.0206362609044458,-0.0208917363785474,-0.0212255113576322,-0.0210772455702227,-0.0206579395779198,-0.0216974861665087,-0.0222155745490496,-0.0223401542304021,-0.0228585719479617,-0.0229650431333321,-0.0227233353923118,-0.0234947808748734,-0.0238473321047978,-0.0237195564972722,-0.0241524526659114,-0.0247213120109859,-0.0251054089752674,-0.0235320909578956,-0.0193123941005205,-0.0209571060803508,-0.0206350263256686
2968,-0.0237686265847437,-0.0247741621606739,-0.025404268153947,-0.0256001425142209,-0.0255408203152931,-0.0255983632027932,-0.0228526667699461,-0.0206663574864399,-0.0205288216990715,-0.0200907418721824,-0.019985678530936,-0.0210417742942527,-0.0207207139372619,-0.0208773597441404,-0.0211496705468634,-0.0210198558318975,-0.0206781224399377,-0.021657113635773,-0.0220550300163224,-0.0223569964714466,-0.0228224790019499,-0.0228891306220435,-0.0227483422127413,-0.023486764332836,-0.023836917018298,-0.0236287635673512,-0.0240657482127309,-0.0248031217850398,-0.0249753715007324,-0.0235561928520237,-0.0192713404134069,-0.0207859952795967,-0.0204674400581177
2966,-0.0237744959385961,-0.0248510643168273,-0.0253203424860725,-0.0255162946838087,-0.0254967972287134,-0.0255156137983924,-0.0228185871324255,-0.0204476405872647,-0.0203551519904005,-0.0201602956894613,-0.0201229148265209,-0.0210346515912108,-0.0207769519173745,-0.0208551558009129,-0.0210868883006282,-0.0209169216404128,-0.0207569247445109,-0.0216469995679563,-0.021862793689255,-0.0222185654363909,-0.022781191691159,-0.0228544357778279,-0.0227730108838343,-0.0233672971943843,-0.0237798550902895,-0.023562127532814,-0.0241154642897924,-0.0247568009901254,-0.0250211195594377,-0.0235029796948437,-0.0193101856623209,-0.0205269666567687,-0.0204540763989322
2964,-0.0236890862771939,-0.0248112634472415,-0.0252382666662284,-0.0253855671656623,-0.0254678140641299,-0.0254713913227974,-0.0226963131357696,-0.020360738179781,-0.0202286573990746,-0.0201707789227896,-0.0202793018644245,-0.0210667141102503,-0.0207607490179405,-0.0208537083700951,-0.0210634910445105,-0.0208543223925648,-0.0207935506837248,-0.0216626591600056,-0.0217882001660272,-0.0220723279009314,-0.0227105377486057,-0.0228748079663294,-0.0227996489615828,-0.0232307353641711,-0.0237083924036239,-0.0235849616959423,-0.024219181807298,-0.0246272917847665,-0.0251973606681189,-0.0233217579528486,-0.0194626493838854,-0.0203183133924466,-0.0205705968804207
2962,-0.0235390520309398,-0.0246363049523252,-0.025194857561317,-0.0252213023867083,-0.0254428004326774,-0.0253982207618346,-0.0225590103411602,-0.0204033877612237,-0.0201572961839228,-0.0200431193268154,-0.0203182533438553,-0.0211016684674289,-0.0207077291362005,-0.0208448492272048,-0.0211273172529109,-0.0208267009215428,-0.0207504872023075,-0.0216726055667126,-0.0219112504367267,-0.0220767637458278,-0.0226277093479779,-0.0229274262603083,-0.0228257275861807,-0.0231326293290642,-0.0236260650370348,-0.0236642206568411,-0.0242222878609255,-0.0245459254418416,-0.02528756413788,-0.0230543159702178,-0.019624524337854,-0.0202239021931217,-0.0206576796941284
2960,-0.0234415488250015,-0.0244364186004202,-0.0251873863762688,-0.025087190606212,-0.0254338538752484,-0.0253281846055249,-0.0225280685639051,-0.0205214125381277,-0.0200712989438001,-0.0198866476522146,-0.0202179323003784,-0.0211285117508843,-0.0206616848791444,-0.0207666177913548,-0.0212482839718447,-0.0208194574050263,-0.0206996908250894,-0.0216536734730452,-0.0220978390923373,-0.0222064607356816,-0.0225801062364613,-0.0229765509221073,-0.0228501510937682,-0.0230468496969343,-0.023521095392081,-0.0237126734504348,-0.0241193027152126,-0.0245508556237512,-0.025197155656912,-0.0228406733509065,-0.0196489580212322,-0.0201923537751777,-0.0206417488039989
2958,-0.0234981097914974,-0.0243759708024927,-0.0252104051380489,-0.0251076153067269,-0.0254899049980056,-0.0253881215472706,-0.0226581877597624,-0.0207031975329673,-0.0200205425695668,-0.0199153576764507,-0.0201258162537699,-0.0211939493416696,-0.0206771043430437,-0.0206716369434085,-0.0213412128590471,-0.0209186635164907,-0.0208013595469489,-0.0216509547548728,-0.0221885607422917,-0.0223479693174092,-0.0226320519250383,-0.0230332182582751,-0.0229251916150529,-0.0229786382022048,-0.0234473806477129,-0.0237313212432864,-0.0240909775416179,-0.0246117739076548,-0.0250717611089042,-0.0228098572600572,-0.0195596603834346,-0.0202098211563815,-0.020637030288433
